benzilpenicilina benzatina | suspensão injetável | 1.200.000 UI | Componente Básico (CBAF);
benzilpenicilina benzatina | suspensão injetável | 600.000 UI | Componente Básico (CBAF);
benzilpenicilina potássica | pó para solução injetável | 5.000.000 UI | Componente Básico (CBAF);
benzilpenicilina procaína + benzilpenicilina potássica | pó para suspensão injetável | 300.000 UI + 100.000 UI | Componente Básico (CBAF);
benznidazol | comprimido | 100 mg | Componente Estratégico (CESAF);
benznidazol | comprimido | 12,5 mg | Componente Estratégico (CESAF);
benzoilmetronidazol | suspensão oral | 40 mg/mL | Componente Básico (CBAF);
beractanto (surfactante Pulmonar) | solução injetável intratecal ou intrabronquica | 25 mg/mL | Componente Especializado (CEAF);
besilato de anlodipino | comprimido | 10 mg | Componente Básico (CBAF);
besilato de anlodipino | comprimido | 5 mg | Componente Básico (CBAF);
beta-agalsidase | pó para solução injetável | 35 mg | Componente Especializado (CEAF);
betadinutuximabe | frasco-ampola | 20mg/4,5mL | Componente Especializado (CEAF);
betainterferona 1a | solução injetável | 22 mcg (6.000.000 UI) | Componente Especializado (CEAF);
betainterferona 1a | solução injetável | 30 mcg (6.000.000 UI) | Componente Especializado (CEAF);
betainterferona 1a | solução injetável | 44 mcg (12.000.000 UI) | Componente Especializado (CEAF);
betainterferona 1b | pó para solução injetável | 300 mcg (9.600.000 UI) | Componente Especializado (CEAF);
bezafibrato | comprimido | 200 mg | Componente Especializado (CEAF);
bezafibrato | comprimido de liberação prolongada | 400 mg | Componente Especializado (CEAF);
bicalutamida | comprimido revestido | 150 mg | Componente Especializado (CEAF);
bicalutamida | comprimido revestido | 50 mg | Componente Especializado (CEAF);
bicarbonato de sódio | solução injetável | 84 mg/mL (8,4%) equivalente a 1 mEq/mL | Componente Básico (CBAF);
bimatoprosta | solução oftálmica | 0,3 mg/mL (0,03%) | Componente Especializado (CEAF);
biotina | cápsula | 2,5 mg | Componente Especializado (CEAF);
bissulfato de clopidogrel | comprimido | 75 mg | Componente Especializado (CEAF);
blinatumomabe | pó liofilizado para solução injetável | 38,5 mcg | Componente Especializado (CEAF);
bortezomibe | pó liofilizado para solução injetável | 1 mg | Componente Especializado (CEAF);
bortezomibe | pó liofilizado para solução injetável | 1,5 mg | Componente Especializado (CEAF);
bortezomibe | pó liofilizado para solução injetável | 3,5 mg | Componente Especializado (CEAF);
bosentana | comprimido | 125 mg | Componente Especializado (CEAF);
bosentana | comprimido | 62,5 mg | Componente Especializado (CEAF);
brentuximabe vedotina | frasco-ampola | 50 mg | Componente Especializado (CEAF);
brigatinibe | comprimido | 180 mg | Componente Especializado (CEAF);
brigatinibe | comprimido | 90 mg | Componente Especializado (CEAF);
brinzolamida | suspensão oftálmica | 10 mg/mL (1%) | Componente Especializado (CEAF);
brometo de ipratrópio | solução para inalação | 0,25 mg/mL | Componente Básico (CBAF);
brometo de piridostigmina | comprimido | 60 mg | Componente Especializado (CEAF);
brometo de tiotrópio monoidratado + cloridrato de olodaterol | solução inalatória | 2,5 mcg + 2,5 mcg | Componente Especializado (CEAF);
brometo de umeclidínio + trifenatato de vilanterol | pó inalatório | 62,5 mcg + 25 mcg | Componente Especializado (CEAF);
bromidrato de fenoterol | solução aerossol | 100 mcg/dose | Componente Especializado (CEAF);
